pron,offset
si4 si4 häk2 häk2,3347943
häi6 gok2 däk2,3354962
gäng6 zing1,3359369
zung2 gäng1 siu1,3363567
mäu1 co1,3369123
nim4 tip2,3373634
yäu1 gau1 yäk6,3377623
yäk2 ping1 dæng1 säm1,3382343
däi1 ha6,3388735
löng4 gäi1 päng4,3392306
gäng1 cäng2,3397340
suk6 duk6,3401642
wo4 li1 fi1 fi1,3405422
häu2 do1 du1 häi6,3412232
ling4 höng1 säk2 yuk6,3417892
tung4 häng4,3425433
söng1 gi1,3429317
zung1 gwok2 ngäng4 hong4,3433724
m4 leng1,3441161
bi6 ceng1 lim1 zung2,3444314
söng6 ming6 yäu1,3453423
wa4 yöi6,3458352
zöng6 wa6,3461818
gai1 fung2 ce1,3465702
gwo1 du6,3470213
läng4 wäi4,3473888
täng1 zäu1,3477563
næng6 mäng4,3481865
si2 si6,3485854
ngo1 teng1,3490470
ngau1 si2 ge1,3493936
löng1 sam1 ning4,3499283
da2 däi1,3504317
pæk2 cöng4 to1,3507888
gi2 häu2 yäng4,3512922
si1 hong4,3517015
gok2 du6,3521004
zäng1 häi6 gok2 däk2,3524679
läu4 gong1 wa4,3530757
zäu2 söng1,3535373
yäm1 ngok6,3540302
niu6 ping2,3543664
döi6 wäi4,3547966
häu2 bäk2 yung4 yi6,3551641
häng4 zäng1 zöng2 gwung1,3558555
ngäng4 löng2,3566305
zäng1 zong1 be1 zäu2,3570294
su1 hok6,3577208
hi2 häng4,3581615
häu2 söng2,3585395
dai6 næng6 läm4 täu4,3590115
läng1 gwäng1,3596611
säu2 täi4 ding6 wa2,3601122
cüng4 ga1 zi1 bäu2,3608141
yäk2 gü2 löng1 däk2,3615996
na1 fæng1,3621761
däng2 dai1,3625436
däu1 si2 si2 ha1,3629320
fuk6 bäk2,3636966
höng1 ha6,3641477
säng4 cöi4,3644943
wäi4 zi1 dung6 yung4,3649245
ha6 ma1,3656264
sing1 söng1,3659939
säk6 bo1 beng2,3664659
säng4 häng4,3670319
mu4 so2 bäk2 wäi4,3674412
bui1 höng1,3682789
ze6 zük6 cam1 gwung1,3686778
häng4 yi1,3695782
wung6 säi1 bäk2 gung1,3699875
ki1 leng1,3707207
bæk2 lok6,3710987
ging1 bu6 hæng4 bu6,3714662
gung1 cäu2 döi1,3720740
züng1 hüng1,3726087
pi1 täu4 sæng2 fæk2,3730285
na4 deng2,3736572
cäk2 du6,3740456
da2 käu4,3744131
wung1 si2,3747911
zip2 ding6 wa2,3752631
lok6 yi1,3757560
gai1 ngäu1 ting1 säng4,3761862
züng2 säi1,3769403
fu6 söng1,3773496
döi6 häng4,3778112
mi4 zäng1 ngæng1 ki1,3781787
gök2 täu4 häu2,3788597
cing4 ce1 zü2,3793317
zung2 zuk6,3798873
gæng2 yi6,3802444
söng1 gong1,3806746
tik2 däu6,3810839
yi4 säng4,3814096
fi1 päng4 häng4,3818712
hi2 fuk6,3823537
sæng1 ha6,3826794
gäm1 gong1,3830469
hok6 ngäi6 mi6 zäng1,3834562
gäng2 säk2,3842835
ci1 ngæng1,3846615
säk6 suk6 bäk2 yi6,3850395
deng2 däng1,3857727
ga2 mäu6 ngäi6 lük2,3861611
gäng6 häu2,3866854
päng4 häng4 si1 bing1 yäng4,3871261
säk6 fui1 si2,3880997
zi2 yiu1,3887284
ci2 häk2,3891064
dam6 ying4,3895053
ngäu4 zäi2 läu1,3898728
cöng4 gäu2 yi1 löi4,3903866
hau6 fäi1,3910467
gäng6 löi4,3914560
säk6 si2,3918026
läu1 sü2 zäi2,3922851
söi1 ping2,3928825
bi2 säm1 gi1,3933232
ga2 ze1,3938057
diu1 ce1,3941732
züng2 däu1,3946243
gung1 cäu1,3950545
fäi1 wa2 siu2 gong2,3955056
ci1 sæk2,3961239
wäng4 nam4 sæng2,3965332
tu2 zäk2,3970679
cung4 yip6 yüng4,3974877
zung1 wæng4 gau1 co1,3980642
säk6 pu2,3987347
zäng1 yäk2 häu2 hi1,3992381
