pron,offset
he4 yin1 vui4 gi2,3831391
sip6 ha4 sip6 ha4,3838410
vat5 kiut6,3845011
siong1 hau3,3849000
hin1 pan4,3854034
toi4 toi4 siong1 con2,3858859
zam1 mi3 fun3,3865878
giet5 tin4,3873733
gin1 tau2,3879080
bau1 yi1,3883905
min2 suk5,3889148
pu1 tu4,3894182
yong2 min2,3899007
guk6 pi4,3905190
bak5 ban1 diau1 lan2,3909806
git5 ngin2 tien1 siong4,3916825
tai4 kien1 zai3,3923844
hau3 lan2,3930967
sin3 cat5,3936314
liong1 ton4,3940930
tien4 kit6,3946695
fon1 lok6,3950893
ban4 liong3,3954777
gon1 ngiet6,3959079
zung1 yung2 zu1 tau4,3962441
pak6 ket5 pak6 hot5,3969460
bui1 zung1 vut6,3975852
zung1 li2,3982871
bi1 bi1,3987487
fung2 moi2 gui4,3991894
leu3 pau1,3999331
liong1 det5,4004365
cong4 ngi4 so1 coi2,4008563
liong1 teu2 ten2,4016418
muk6 luk6,4023855
muk5 siong4,4027948
sun4 sui3 tui1 ziu1,4033713
yung3 bin1 cu4 cung4,4042404
sam1 bau3,4049423
sam1 von3,4054770
a3 diau3,4060326
pak6 coi4 zai3,4064315
tu4 liong4 fen2,4070080
cung2 yit5 yi2 zung1,4076681
tau4 m1 tau4 det5,4085163
gu1 yi2,4092077
co4 tin4 hi4,4096484
fa2 tien2,4103189
yin4 yung4 vut6 li1,4108536
gim3 yi1 ngiuk6 sit6,4116704
zon1 ngiap6 fu4,4122469
sam1 giok5 den4,4129070
pa2 hang2,4135253
kioi4 si3 lo3,4139973
lok6 yen2,4145633
dong1 ga4,4150458
kiut5 ngin2,4155074
bong3 mai2 yit5 ce2,4160421
tap6 giok5 sak6,4167649
tau2 cu2,4173414
tai4 tau4,4178343
mo2 dang3,4182436
kit6 hin2,4187052
sam1 vun2 ci4,4192295
gin1 ngiam4 cit6,4200881
lo3 miang4,4206332
kiam2 zai3,4211575
ngeu3 yen2 gan1,4217026
siet5 song4 ga1 song1,4226344
vuk5 ka1,4233781
cut5 yong2 siong4,4239232
sam1 gan1,4245833
het6 tien4,4252434
sang1 vut6 gong4 gai3,4257050
san1 lan4,4264905
zin4 song2,4270252
set5 su4 fung1,4275077
pi1 vo1,4281573
vu2 vui2 yi4,4286084
hiet5 hoi3 cim1 siu2,4293312
hau3 cu1,4300749
sam1 con4,4305365
cung2 cut5 gong1 fu2,4311339
hong2 ga1,4318985
lin2 fung1,4324019
ngok6 zong1,4329366
dau3 si3,4334609
but5 gin1 zi4,4339016
zung1 ngi3,4345721
muk5 soi4 mau1,4350128
din3 teu2 song4 su1,4356415
me1 he4,4363225
cung4 yau4 he4,4367318
din3 su4,4372665
