pron,offset
si6 zäk2,3327979
fæk2 fui1 häu2 mung6,3331654
long1 long1 söng1 häu2,3340345
käp2 duk6,3347364
fong4 gæng1,3350203
bong6 mæng1,3354296
mo4 göng1,3358389
wung1 säm1 söng1 lu6,3362587
da2 zong1,3370546
gwung1 däk2 däu6,3373803
me1 a4,3378628
ha6 bung1,3381363
cung4 mäu4,3385247
läu1 häu2,3388922
dung6 löng6,3393329
häu2 näng2 fæng4,3396900
yim1 wu1,3401516
zöi1 häu6 mi1,3405400
ngäu4 wong4,3410434
gü1 däu6,3413796
yäk2 löng1 ga1,3417471
züng1 zuk6,3421251
häu2 hung2 bu1,3424508
lok6 zäi2,3429437
säng1 cäng2 yäng4,3433217
gäi2 su1,3437624
si1 säng4,3441822
m4 se2 däk2,3446647
wui6 mu2,3450427
säm1 gi1 gäng2 säk2,3453998
süng2 täu4,3463734
li1 gai2 co1,3467514
ga1 gam2 säng4 cü4,3472443
na4 za1,3479880
bäk2 hong4 säng1,3483451
löi4 m4 löi4 däk2,3489634
miu2 gung1,3494981
su1 mäng4,3499179
bu6 suk6,3503168
ha6 go1,3507052
ok2 si2,3510309
ngok6 zöng1,3514716
päng4 ngük6,3519018
ping1 tong4,3522275
däu1 cäi4,3525637
di6 ha6 tik2 lu6,3529521
da2 se4,3535913
yi6 wæng1,3539693
gok2 däk2 häi6,3543682
fai1 zi2,3548611
hi2 mu6,3552704
dek6 ka1 yi1,3555752
cüng1 zök6,3560577
mong6 ting1 da2 gwa1,3564357
næng4 yök2,3571689
da2 kæk2,3575573
wu6 häu2 zäi1 du6,3579039
söng1 so2,3585222
bau1 cak2,3588688
geng1 zü6,3592886
sing6 zuk6,3597188
fæk2 gok2,3600968
zing1 si6,3604643
m4 co1,3609154
ngi1 si2,3612411
zäk6 tung1 ce1,3616713
da2 cing2 cäu2,3622060
häng1 cung1,3627407
ha6 hæng6,3631709
yäng4 däu6 wäi2 mik6,3635071
yäng1 hong4 gäu1 go1,3642090
yi1 mäk6 yäk6 mäk6,3647959
mi6 söi2,3656023
söi1 fuk6,3660430
ning4 siu1 yäu1 wäi4,3664001
hau6 fu1,3672796
diu6 züng2,3677098
gäu2 gäng1 hau2 yim6,3681505
gung1 fu1,3689255
long4 zäk6,3693557
cäk2 säng1 di6,3697232
zæk2 ning4 läi6 si6,3702788
käng4 ngæng6,3709598
dap2 söng6 dap2,3713273
hong4 däu6,3718829
bæk6 ce1,3722818
da2 pok2 häk2,3726807
zung6 dim2,3731109
læng6 mäng6 yäk2 tiu4,3735098
fui1 yüng4 däu6,3742012
ge1 wa2,3747359
liu1 ying4,3750616
säi1 säng4 söi2 fo2,3754814
ha6 yäng4,3762146
häi2 du6,3765403
yäng1 du6 si1 tæng2,3768765
siu2 siu2 cing4,3775993
säng6 ying1,3780922
sim2 kæk2,3784911
zung6 gäm1,3788900
yüng4 säng4,3792889
ta1 tiu4,3796982
ai2 zäi2,3800762
ngäu4 zäi2 sam1,3804960
gok2 wäi6 ki4 zü2,3810829
häu2 gäng2 bäk2 cöng4,3817952
za1 da2 ngäng4 hong4,3824344
höng1 ziu1 zäi2,3829795
cu1 zäng1,3835038
suk6 hæk2 zäi2,3839340
fæk2 säng1,3844478
wui6 gwung2,3848780
söng1 cong1,3852978
zip2 zäu1,3857698
bäk2 gäng1 zäi1,3861269
pæk2 ha1 to1,3866198
mi6 zu6 häu2,3870500
su1 yi1,3875534
zäng1 zu2 fu6,3879418
wa6 li1 yäu1 wa6,3884347
zi6 häng4 ce1,3894083
sa1 ce1,3899221
züng2 fæk2 däu1,3902896
häu2 m4 häu2,3908034
wäi4 so2 yuk6 wäi4,3912232
sing1 mi6,3919564
säng4 fäng1,3923448
köng1 ca1 yäng4 yi1,3927959
häu2 gik6,3934664
kü1 zöi1,3938235
zi2 su1,3942433
söng6 gwui1,3946422
